forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.025,88538.57250000001
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.025,612450.1999999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.050,1469.78504
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.050,612863.5599999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.100,1706.13614
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.100,134821.36500000002
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.100,613249.7599999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.150,1873.3716399999998
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.150,613870.5999999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.200,2004.9144199999998
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.200,614138.1999999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.250,2183.80041
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.250,188463.82300000003
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.250,614635.9999999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.300,2369.12729
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.300,614825.6599999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.350,2539.4041700000002
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.350,615050.4999999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.400,2804.68231
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.400,615345.0499999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.450,3064.1785399999994
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.450,615906.5499999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.500,3226.43998
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.500,274565.314
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.500,616302.2499999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.550,3402.5453700000003
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.550,616550.6999999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.600,3584.5290299999997
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.600,617056.3999999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.650,3850.25312
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.650,617520.3499999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.700,4152.67533
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.700,618064.5399999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.750,4447.42502
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.750,438178.338
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.750,618476.9499999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.800,4648.11178
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.800,618938.9599999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.850,5270.10141
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.850,619927.9999999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.900,6181.62303
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.900,606733.08
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.900,620977.1399999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.950,7104.34156
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.950,622647.3999999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.975,8270.2632
2021-07-18,3 wk ahead inc case,2021-08-07,US,quantile,0.975,1018693.6800000002
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.975,625751.7999999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.990,8930.4711
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.990,626299.5499999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,point,NA,4097.474539999999
2021-07-18,4 wk ahead inc case,2021-08-14,US,point,NA,401007.045
2021-07-18,4 wk ahead cum death,2021-08-14,US,point,NA,620652.4499999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.010,1439.51316
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.010,613599.0399999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.025,1535.9998999999998
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.025,118704.51699999999
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.025,614756.5399999997
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.050,1658.51224
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.050,615166.8099999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.100,1997.38016
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.100,181959.95899999997
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.100,615794.6599999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.150,2438.2263900000003
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.150,616168.9999999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.200,2605.65055
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.200,616770.2999999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.250,2922.06405
2021-07-18,4 wk ahead inc case,2021-08-14,US,quantile,0.250,263714.199
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.250,617161.7499999998
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.300,3141.4885799999997
2021-07-18,4 wk ahead cum death,2021-08-14,US,quantile,0.300,617699.8599999999
2021-07-18,4 wk ahead inc death,2021-08-14,US,quantile,0.350,3410.9688800000004
